,Vancouver,Surrey,Victoria,Abbotsford,Kamloops,Burnaby,Prince George,Kelowna,Langley,Mission,Nanaimo,Chilliwack,Maple Ridge,Penticton,New Westminster
2012,65,44,18,7,5,10,10,8,5,3,6,8,5,2,3
2013,80,36,25,10,8,13,7,12,10,3,20,6,10,4,5
2014,102,44,20,7,7,11,10,12,10,3,16,6,14,3,9
2015,138,76,23,27,7,15,12,20,10,4,18,10,29,3,12
2016,231,118,68,40,44,40,18,47,31,8,30,13,28,7,10
2017,374,181,95,52,37,44,24,73,37,18,56,22,33,15,24
2018,399,216,99,41,47,49,51,56,33,10,38,37,29,16,36
2019,243,119,62,44,26,29,25,34,23,12,27,21,13,21,20
2020,419,222,122,66,60,57,59,61,38,12,39,37,39,17,37
2021,528,283,127,86,78,78,55,73,56,18,49,54,45,25,43
2022,137,56,31,26,25,19,18,17,13,13,12,12,11,10,9
