Health authority,HSDA,Local Health Areas,metric,2015,2015,2015,2015,2015,2015,2015,2015
Interior,Thompson Cariboo Shuswap,100 Mile House,"rate per 100,000",0,0,6.8,20.3,13.4,13.2,38.7,12.7
Fraser,Fraser East,Abbotsford,"rate per 100,000",17.3,26.4,34.9,25.7,27.5,38.7,51.4,52.1
Fraser,Fraser East,Agassiz/Harrison,"rate per 100,000",0,29.6,48.2,18.7,9.3,9.3,46.3,63.6
Island,Central Vancouver Island,Alberni/Clayoquot,"rate per 100,000",15.8,15.5,36.8,39.4,32.8,29.6,70.1,75.1
Interior,Okanagan,Armstrong/Spallumcheen,"rate per 100,000",0,9.4,0,9.2,0,27.4,18.2,9
Interior,Kootenay Boundary,Arrow Lakes,"rate per 100,000",44.5,0,21.3,42.1,21.1,41.6,40.6,40.3
VCH,North Shore/Coast Garibaldi,Bella Coola Valley,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Fraser,Fraser North,Burnaby,"rate per 100,000",5.8,16.4,17.8,19.5,11.4,22.1,31,25.6
Northern,Northern Interior,Burns Lake,"rate per 100,000",0,45.5,0,0,15.3,0,0,15.4
Interior,Thompson Cariboo Shuswap,Cariboo/Chilcotin,"rate per 100,000",7.8,15.5,27,34.6,11.5,38.3,38.2,64.5
Interior,Kootenay Boundary,Castlegar,"rate per 100,000",14.2,21,13.9,0,33.9,20.1,40.4,46.5
VCH,North Shore/Coast Garibaldi,Central Coast,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Central Okanagan,"rate per 100,000",12.6,26.8,43.7,31.8,19.2,35.3,37.1,39.2
Fraser,Fraser East,Chilliwack,"rate per 100,000",11.7,15.3,25.1,36.2,20.2,36.1,56.3,45.8
Island,North Vancouver Island,Comox Valley,"rate per 100,000",10.4,15.8,24.2,21,16.5,19,46.8,48.6
Island,Central Vancouver Island,Cowichan Valley North,"rate per 100,000",10.3,20.4,19.8,14.7,14.5,24,14.2,23.1
Island,Central Vancouver Island,Cowichan Valley South,"rate per 100,000",8.4,16.3,21.1,43.3,20.7,34.8,42.3,46.2
Island,Central Vancouver Island,Cowichan ValleyWest,"rate per 100,000",0,15.3,15.2,30,29.6,14.5,43.5,71.5
Interior,East Kootenay,Cranbrook,"rate per 100,000",7.4,7.3,10.9,7.2,0,35.5,60,38.3
Interior,East Kootenay,Creston,"rate per 100,000",0,7.6,0,0,0,7.5,15.1,22.4
Fraser,Fraser South,Delta,"rate per 100,000",5.6,10.1,18.4,19,12.6,17.8,18.3,20.6
Interior,Okanagan,Enderby,"rate per 100,000",13.5,13.2,13.1,51.6,0,63.8,88.3,24.9
Interior,East Kootenay,Fernie,"rate per 100,000",0,12.6,0,0,6,17.9,0,0
Northern,Northern Northeast,Fort Nelson,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,59.5,Surpressed
Interior,East Kootenay,Golden,"rate per 100,000",0,14,13.7,13.5,0,13.2,13,25.5
Interior,Kootenay Boundary,Grand Forks,"rate per 100,000",0,0,44.6,99.2,33.1,33.1,54.1,42.9
Island,North Vancouver Island,Greater Campbell River,"rate per 100,000",11.6,33.7,42.2,30.5,30.1,31.8,52.2,55.5
Island,Central Vancouver Island,Greater Nanaimo,"rate per 100,000",15.3,25.5,51.1,34.1,22.5,35.4,45.7,63.8
Island,South Vancouver Island,Greater Victoria,"rate per 100,000",9,27.3,38.3,39.8,25.7,47.3,46.5,53
Northern,Northwest,Haida Gwaii,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,44.4,Surpressed,22.1,43.9
